Provincia,Partido,,,Otros,"0,256 mbps",,,"0,512 mbps","0,625 mbps","0,75 mbps",1 mbps,,,2 mbps,"2,2 mbps",,,"3,3 mbps","3,5 mbps",4 mbps,"4,5 mbps",,,"6,4 mbps",7 mbps,,,9 mbps,10 mbps,,12 mbps,13 mbps,14 mbps,,16 mbps,17 mbps,18 mbps,,20 mbps,21 mbps,,23 mbps,24 mbps,25 mbps,,"25,11 mbps","25,5 mbps",26 mbps,,31 mbps,32 mbps,,35 mbps,36 mbps,38 mbps,,40 mbps,41 mbps,45 mbps,46 mbps,49 mbps,50 mbps,,58 mbps,59 mbps,60 mbps,,62 mbps,64 mbps,,66 mbps,70 mbps,75 mbps,,80 mbps,82 mbps,83 mbps,,90 mbps,92 mbps,,100 mbps
,,25 de Mayo,6854100,,,,2,,,19,,,,,,,85,,,,,,173,,,,299,,,,"4,134",,,415,,,,,604,,,,,211,,,,,59,,,,,,,,37,,,,,,,,,,,,,,,,,,9,,,,,,,
,25 de Mayo,Agustín Mosconi,6854010,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Del Valle,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Ernestina,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 de Mayo,Gobernador Ugarte,6854040,,,,,,,,,,,106,,,3,,,,,7,3,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,,Lucas Monteverde,6854050,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,,6854060,,,,,,,,,,,161,,,,,,15,,,876,,,,,,1,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 de Mayo,Pedernales,6854070,,,,,,,,,,,,,,,,,173,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,San Enrique,,,,,,,,,,,,,,,,,,,,,85,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 de Mayo,Valdés,6854090,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,12 de Octubre,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,,,1,,,,,,,,,,,,,198,,,,,154,"4,942",,,,98,,,,55,,,"1,094",,,3,,"1,008",,,,,131,,,,,311,,,,,,,,,,,,,"1,816",,,,,,,,,,,,,,,,,,,,"1,343"
BUENOS AIRES,,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dudignac,6588040,,,,,,,,8,,,,,,25,,,247,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,,6588060,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Patricios,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,,,,,,,,,,,,,,,,,,,,20,,,,,,33,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,,6007010,,,,,,,,,,,,,,793,,20,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,Colonia San Miguel Arcángel,6007020,,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,,Esteban Agustín Gascón,6007050,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,,,10,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,155",,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,,,,,,,3,,,,,,,,,,,,,,,,,447,,122,,1,,,"1,045",,,,,,,,,,,,,,,44,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,Adolfo Gonzales Chaves,De la Garma,6014020,,,,,,,,,,,,,,,,,661,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alberti   (Est. Andrés Vaccarezza),6021010,,,,,,,,,,,,,,,,,,,7,,,,,116,,10,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Alberti,Mechita,,,,,,,,,,,,,,,275,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Almirante Brown,Adrogué,6028010,,1,,10,,,34,24,,,8,,,,,63,7,,,,,,,,,405,,,,,135,,,126,,,,,,,,,,,,"11,557",,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,"3,360"
BUENOS AIRES,Almirante Brown,,,50,1,,,1,,23,29,,,77,,,17,,34,115,,15,,,,,,,"1,146",,8,,,,,,25,,3,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885,,,,,,,,,"5,258"
BUENOS AIRES,,Claypole,6028010,,,,,,,2,,,,,,,2,,,,,2,47,,,,,,467,,3,,,1,,,,,16,,,,,63,,,,,"4,114",,,,,,,,,,,,,452,,,,"2,090",,,,,,,,,,,,,,,,
