,Provincia,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G
0,BUENOS AIRES,14911542,355,345,213,443,157,497,548,590,655
1,CABA,2890151,48,48,48,48,48,48,48,48,48
2,CATAMARCA,343343,7,3,1,23,48,33,31,29,57
3,CHACO,927414,28,14,1,45,43,46,47,44,75
4,CHUBUT,490554,13,11,15,13,49,31,54,31,38
5,CORDOBA,3139606,181,89,5,172,73,292,310,277,344
6,CORRIENTES,857994,21,9,1,12,55,45,51,39,70
7,ENTRE RIOS,1119919,47,39,4,44,22,130,128,78,128
8,FORMOSA,452714,13,3,0,16,23,59,30,16,42
9,JUJUY,628141,20,15,0,44,44,39,36,28,45
10,LA PAMPA,302570,10,18,13,50,60,68,69,31,47
11,LA RIOJA,319248,13,22,1,29,16,53,35,14,36
12,MENDOZA,1654993,30,18,28,77,19,106,74,118,128
13,MISIONES,836097,29,25,0,39,26,49,59,40,86
14,NEUQUEN,522527,17,10,17,19,36,42,41,20,34
15,RIO NEGRO,597058,23,12,21,45,69,80,52,55,65
16,SALTA,1117163,32,19,1,86,67,70,54,43,88
17,SAN JUAN,631000,9,1,11,12,18,73,40,41,49
18,SAN LUIS,410669,10,7,9,20,18,88,41,28,41
19,SANTA CRUZ,268436,5,5,7,9,22,11,17,15,16
20,SANTA FE,3055611,175,133,3,132,66,250,290,179,296
21,SANTIAGO DEL ESTERO,671932,14,19,1,46,81,79,44,41,91
22,TIERRA DEL FUEGO,125823,3,2,2,2,4,3,3,5,6
23,TUCUMAN,1210114,30,9,1,20,15,50,60,70,89
