,Año,Trimestre,Provincia,Mbps (Media de bajada)
0,2022,3,Buenos Aires,70
1,2022,3,Capital Federal,101
2,2022,3,Catamarca,61
3,2022,3,Chaco,53
4,2022,3,Chubut,16
5,2022,3,Córdoba,56
6,2022,3,Corrientes,45
7,2022,3,Entre Ríos,42
8,2022,3,Formosa,30
9,2022,3,Jujuy,32
10,2022,3,La Pampa,18
11,2022,3,La Rioja,44
12,2022,3,Mendoza,34
13,2022,3,Misiones,49
14,2022,3,Neuquén,48
15,2022,3,Río Negro,34
16,2022,3,Salta,41
17,2022,3,San Juan,16
18,2022,3,San Luis,19
19,2022,3,Santa Cruz,13
20,2022,3,Santa Fe,45
21,2022,3,Santiago Del Estero,18
22,2022,3,Tierra Del Fuego,11
23,2022,3,Tucumán,53
24,2022,2,Buenos Aires,66
25,2022,2,Capital Federal,94
26,2022,2,Catamarca,57
27,2022,2,Chaco,51
28,2022,2,Chubut,15
29,2022,2,Córdoba,54
30,2022,2,Corrientes,43
31,2022,2,Entre Ríos,40
32,2022,2,Formosa,28
33,2022,2,Jujuy,29
34,2022,2,La Pampa,16
35,2022,2,La Rioja,43
36,2022,2,Mendoza,30
37,2022,2,Misiones,46
38,2022,2,Neuquén,47
39,2022,2,Río Negro,33
40,2022,2,Salta,39
41,2022,2,San Juan,14
42,2022,2,San Luis,19
43,2022,2,Santa Cruz,12
44,2022,2,Santa Fe,42
45,2022,2,Santiago Del Estero,16
46,2022,2,Tierra Del Fuego,11
47,2022,2,Tucumán,50
48,2022,1,Buenos Aires,63
49,2022,1,Capital Federal,88
50,2022,1,Catamarca,51
51,2022,1,Chaco,46
52,2022,1,Chubut,13
53,2022,1,Córdoba,50
54,2022,1,Corrientes,38
55,2022,1,Entre Ríos,36
56,2022,1,Formosa,30
57,2022,1,Jujuy,28
58,2022,1,La Pampa,15
59,2022,1,La Rioja,41
60,2022,1,Mendoza,26
61,2022,1,Misiones,42
62,2022,1,Neuquén,43
63,2022,1,Río Negro,31
64,2022,1,Salta,37
65,2022,1,San Juan,12
66,2022,1,San Luis,21
67,2022,1,Santa Cruz,11
68,2022,1,Santa Fe,39
69,2022,1,Santiago Del Estero,14
70,2022,1,Tierra Del Fuego,11
71,2022,1,Tucumán,47
72,2021,4,Buenos Aires,60
73,2021,4,Capital Federal,83
74,2021,4,Catamarca,46
