,index,Año,Trimestre,Provincia,Accesos por cada 100 hogares
0,0,2022,3,Buenos Aires,78.11
1,1,2022,3,Capital Federal,122.28
2,2,2022,3,Catamarca,65.33
3,3,2022,3,Chaco,43.86
4,4,2022,3,Chubut,84.38
5,5,2022,3,Córdoba,88.31
6,6,2022,3,Corrientes,48.21
7,7,2022,3,Entre Ríos,63.67
8,8,2022,3,Formosa,43.76
9,9,2022,3,Jujuy,58.91
10,10,2022,3,La Pampa,96.59
11,11,2022,3,La Rioja,80.66
12,12,2022,3,Mendoza,51.03
13,13,2022,3,Misiones,51.82
14,14,2022,3,Neuquén,80.37
15,15,2022,3,Río Negro,67.98
16,16,2022,3,Salta,57.76
17,17,2022,3,San Juan,50.8
18,18,2022,3,San Luis,81.74
19,19,2022,3,Santa Cruz,43.19
20,20,2022,3,Santa Fe,78.55
21,21,2022,3,Santiago Del Estero,47.98
22,22,2022,3,Tierra Del Fuego,99.51
23,23,2022,3,Tucumán,61.14
24,24,2022,2,Buenos Aires,77.58
25,25,2022,2,Capital Federal,121.31
26,26,2022,2,Catamarca,62.4
27,27,2022,2,Chaco,43.79
28,28,2022,2,Chubut,83.19
29,29,2022,2,Córdoba,87.48
30,30,2022,2,Corrientes,48.35
31,31,2022,2,Entre Ríos,63.9
32,32,2022,2,Formosa,43.42
33,33,2022,2,Jujuy,57.32
34,34,2022,2,La Pampa,92.98
35,35,2022,2,La Rioja,80.14
36,36,2022,2,Mendoza,49.39
37,37,2022,2,Misiones,51.0
38,38,2022,2,Neuquén,80.02
39,39,2022,2,Río Negro,67.85
40,40,2022,2,Salta,57.54
41,41,2022,2,San Juan,49.46
42,42,2022,2,San Luis,81.76
43,43,2022,2,Santa Cruz,43.15
44,44,2022,2,Santa Fe,77.9
45,45,2022,2,Santiago Del Estero,47.7
46,46,2022,2,Tierra Del Fuego,99.86
47,47,2022,2,Tucumán,59.31
48,48,2022,1,Buenos Aires,76.08
49,49,2022,1,Capital Federal,111.8
50,50,2022,1,Catamarca,58.21
51,51,2022,1,Chaco,44.06
52,52,2022,1,Chubut,88.05
53,53,2022,1,Córdoba,85.76
54,54,2022,1,Corrientes,47.64
55,55,2022,1,Entre Ríos,63.7
56,56,2022,1,Formosa,34.96
57,57,2022,1,Jujuy,58.06
58,58,2022,1,La Pampa,91.66
59,59,2022,1,La Rioja,78.77
60,60,2022,1,Mendoza,48.74
61,61,2022,1,Misiones,49.04
62,62,2022,1,Neuquén,74.17
63,63,2022,1,Río Negro,67.04
64,64,2022,1,Salta,56.11
65,65,2022,1,San Juan,43.55
66,66,2022,1,San Luis,80.72
67,67,2022,1,Santa Cruz,43.34
68,68,2022,1,Santa Fe,77.3
69,69,2022,1,Santiago Del Estero,47.17
70,70,2022,1,Tierra Del Fuego,98.29
71,71,2022,1,Tucumán,57.39
72,72,2021,4,Buenos Aires,75.66
73,73,2021,4,Capital Federal,111.27
74,74,2021,4,Catamarca,55.25
75,75,2021,4,Chaco,44.05
76,76,2021,4,Chubut,82.57
77,77,2021,4,Córdoba,84.51
78,78,2021,4,Corrientes,45.51
79,79,2021,4,Entre Ríos,63.16
80,80,2021,4,Formosa,34.45
81,81,2021,4,Jujuy,56.92
82,82,2021,4,La Pampa,89.57
83,83,2021,4,La Rioja,77.92
84,84,2021,4,Mendoza,47.51
85,85,2021,4,Misiones,49.06
86,86,2021,4,Neuquén,73.3
87,87,2021,4,Río Negro,65.69
88,88,2021,4,Salta,56.81
89,89,2021,4,San Juan,39.59
90,90,2021,4,San Luis,80.3
91,91,2021,4,Santa Cruz,43.05
92,92,2021,4,Santa Fe,77.09
93,93,2021,4,Santiago Del Estero,47.05
94,94,2021,4,Tierra Del Fuego,98.4
95,95,2021,4,Tucumán,55.93
96,96,2021,3,Buenos Aires,71.68
97,97,2021,3,Capital Federal,111.27
98,98,2021,3,Catamarca,52.71
99,99,2021,3,Chaco,42.96
100,100,2021,3,Chubut,80.71
101,101,2021,3,Córdoba,81.28
102,102,2021,3,Corrientes,44.9
103,103,2021,3,Entre Ríos,62.18
104,104,2021,3,Formosa,33.96
105,105,2021,3,Jujuy,55.69
106,106,2021,3,La Pampa,84.28
107,107,2021,3,La Rioja,77.26
108,108,2021,3,Mendoza,45.55
109,109,2021,3,Misiones,45.57
110,110,2021,3,Neuquén,69.71
111,111,2021,3,Río Negro,61.97
112,112,2021,3,Salta,55.96
113,113,2021,3,San Juan,39.46
114,114,2021,3,San Luis,79.87
115,115,2021,3,Santa Cruz,43.75
116,116,2021,3,Santa Fe,75.02
117,117,2021,3,Santiago Del Estero,47.0
118,118,2021,3,Tierra Del Fuego,94.95
119,119,2021,3,Tucumán,54.64
120,120,2021,2,Buenos Aires,70.0
121,121,2021,2,Capital Federal,110.14
122,122,2021,2,Catamarca,52.34
123,123,2021,2,Chaco,43.33
124,124,2021,2,Chubut,72.29
125,125,2021,2,Córdoba,80.12
126,126,2021,2,Corrientes,43.54
127,127,2021,2,Entre Ríos,61.66
128,128,2021,2,Formosa,33.23
129,129,2021,2,Jujuy,56.18
130,130,2021,2,La Pampa,82.08
131,131,2021,2,La Rioja,76.98
132,132,2021,2,Mendoza,40.97
133,133,2021,2,Misiones,45.01
134,134,2021,2,Neuquén,69.14
135,135,2021,2,Río Negro,61.94
136,136,2021,2,Salta,54.93
137,137,2021,2,San Juan,39.28
138,138,2021,2,San Luis,83.48
139,139,2021,2,Santa Cruz,44.01
140,140,2021,2,Santa Fe,75.07
141,141,2021,2,Santiago Del Estero,46.56
142,142,2021,2,Tierra Del Fuego,67.89
143,143,2021,2,Tucumán,54.93
144,144,2021,1,Buenos Aires,69.11
145,145,2021,1,Capital Federal,108.42
146,146,2021,1,Catamarca,48.9
147,147,2021,1,Chaco,43.14
148,148,2021,1,Chubut,68.99
149,149,2021,1,Córdoba,78.59
150,150,2021,1,Corrientes,42.66
151,151,2021,1,Entre Ríos,60.44
152,152,2021,1,Formosa,32.73
