,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
0,2022,3,Buenos Aires,339648,2748325,1436433,126,70,4721668
1,2022,3,Capital Federal,140791,1240125,129218,5,31,1547679
2,2022,3,Catamarca,10010,10495,46224,1,2,70293
3,2022,3,Chaco,27164,61800,44645,8,2,144146
4,2022,3,Chubut,45377,72212,9574,29,8,165778
5,2022,3,Córdoba,163770,465461,338570,61,9,1038668
6,2022,3,Corrientes,36508,77140,18619,7,5,144846
7,2022,3,Entre Ríos,60345,132952,36971,26,12,268959
8,2022,3,Formosa,14470,25880,11041,16,212,68538
9,2022,3,Jujuy,19257,52978,40172,4,2,118823
10,2022,3,La Pampa,7796,60078,23551,20,4,116092
11,2022,3,La Rioja,6842,53899,19697,6,31,86864
12,2022,3,Mendoza,37659,78858,142615,27,2,289523
13,2022,3,Misiones,35513,88902,39046,11,7,182157
14,2022,3,Neuquén,29352,75815,29396,27,1,163161
15,2022,3,Río Negro,35552,48260,41017,16,18,160558
16,2022,3,Salta,40006,96984,50254,10,7,204541
17,2022,3,San Juan,38570,22723,12328,21,7,103399
18,2022,3,San Luis,6860,29363,248,70,14,122070
19,2022,3,Santa Cruz,10170,24047,10815,3,582,49510
20,2022,3,Santa Fe,183740,426255,215189,43,19,887810
21,2022,3,Santiago Del Estero,15385,80937,13170,6,2,119032
22,2022,3,Tierra Del Fuego,12754,39963,403,125,651,53896
23,2022,3,Tucumán,77738,18518,162345,3,519,263117
24,2022,2,Buenos Aires,350652,2719613,1399043,126,71,4667183
25,2022,2,Capital Federal,145491,1232226,121506,5,31,1536771
26,2022,2,Catamarca,11928,9430,42087,1,2,67008
27,2022,2,Chaco,29552,61284,42194,8,2,143564
28,2022,2,Chubut,45377,69242,9574,29,8,162805
29,2022,2,Córdoba,179181,467595,308895,61,9,1026435
30,2022,2,Corrientes,38468,75769,18181,7,5,144997
31,2022,2,Entre Ríos,63794,131029,35839,26,12,269352
32,2022,2,Formosa,15397,25487,9875,16,212,67881
33,2022,2,Jujuy,20303,54495,34184,3,2,115314
34,2022,2,La Pampa,7796,59273,22994,20,1,111527
35,2022,2,La Rioja,7759,52656,19189,6,31,86030
36,2022,2,Mendoza,37663,77504,135504,26,1,279562
37,2022,2,Misiones,37208,89260,33649,11,7,178813
38,2022,2,Neuquén,29749,74905,28824,27,1,161968
39,2022,2,Río Negro,36050,47040,40946,16,18,159764
40,2022,2,Salta,42665,96178,47076,10,7,203177
41,2022,2,San Juan,38570,19734,12328,21,7,100407
42,2022,2,San Luis,6860,29034,248,70,14,121741
43,2022,2,Santa Cruz,10170,23725,10815,3,579,49185
44,2022,2,Santa Fe,198492,428233,189503,43,19,878859
45,2022,2,Santiago Del Estero,16561,80338,11605,6,2,118044
46,2022,2,Tierra Del Fuego,12754,39837,403,125,651,53770
47,2022,2,Tucumán,85893,15327,148823,3,487,254527
48,2022,1,Buenos Aires,392045,2728865,1242121,125,66,4555424
49,2022,1,Capital Federal,102290,1217225,62308,5,29,1417541
50,2022,1,Catamarca,14181,15517,29118,1,2,62378
51,2022,1,Chaco,32391,64546,36662,8,2,144119
52,2022,1,Chubut,44133,66667,9184,30,21,171628
53,2022,1,Córdoba,195610,501799,235838,60,9,1003803
54,2022,1,Corrientes,40462,79093,10875,6,5,142578
55,2022,1,Entre Ríos,67159,138986,23091,26,12,267926
